"resturants_name","resturants_phone","resturants_users_name","resturants_users_review"
"The Brick Pub & Grill","(425) 207-8951","Mike C.","Very good food
Crab cakes were amazing gourmet
The Philly cheese was very tender and juicy"
"The Brick Pub & Grill","(425) 207-8951","Michelle M.","We've come here a few times, once during happy hour and then once during dinner service on the weekend. Both times, the food has been delicious, perfectly priced, and served with a lot of heart.
I recommend both the Philly Dip and the Steak and Baked Fries.
Happy hour menu is great!"
"The Brick Pub & Grill","(425) 207-8951","Kim W.","Came in for a Seahawks game
Pros:
Great for groups, lots of space and doesn't get too crowded which I like. Our server Andrew was amazing and really went out of his way to give us great service.
Cons:
Apparently they released a new menu the day before we came and boy if I knew I would NOT have come here. Way over priced for the type of food you get, basic bar food at restaurant prices. I was planning on coming and getting food all afternoon for the game but fries alone were almost 10$ after tax. Way way way overpriced for what food you get. My group ordered wings (which were good), nachos (alright), backyard burger (burnt) and drinks for each of us. Our bill was over $100. Somethings off if they think this will bring people in."
"The Brick Pub & Grill","(425) 207-8951","Eric O.","Love the restaurant interior, staff is friendly, and drink options are plentiful. Some cons for me were pricy food items, small portions, and TVs mounted too high. I got to the eatery about 30 minutes after they opened. There were only two others in the restaurant. The bartender chatted up all the patrons and was so nice to interact with. Food came out quickly and the plates were properly warmed. I was impressed that the place had large screen TVs all around each wall of the space which was great. My only gripe was they were mounted close to the ceiling. So Monday Night Football was on the screen in front of me at the bar and I had to strain my neck a little. All in all a decent spot. I really want to rate this higher, but with the prices/portion ratio is a bit off. I will visit again when there are more patrons. Would like to see service with more people in the spot"
"The Brick Pub & Grill","(425) 207-8951","Mike H.","Let start off by saying WOW, just WOW!! I have never had a steak salad before and i never knew what i was missing until now. I order the black and blue salad. The salad itself was large and had a good portion of steak on it. The salad was fresh and so were all the toppings. The steak was seasoned perfectly and was cooked perfectly. Medium rare to medium. The dressing the salad dressing that came with the salad brought all the flavors together and really set the salad off. I can go on record and say that this is by far one of the best salads that i have ever had. My friends order a Cajun Chicken sandwich and they said that it was delicious as well. I have passed by this place so many times I'm glad i went in and will have to go back."
"The Brick Pub & Grill","(425) 207-8951","Amira J.","first of all, our server mike was so cool n sweet! authentically himself & laid back! he checked on our group often & made sure our water was refilled! it can be hard to feel welcomed by some restaurants especially if you are a black person of color so i just want to say my experience here with the service was amazing!
i met up with my folks here after work around 6. the pub is located at the end of a small lot that's shared with a gas station & a few other small stores. when you walk in it's pretty spacious inside. not really booths but lots of tables n chairs & a bar.
i ordered the large cajun chicken cesar salad 5/5: i was really excited about eating this. the portion of chicken was perfect with the amount of lettuce given. it came with parmesan, & croutons! the dressing wasn't heavy at all & i appreciated this because i was able to feel more refreshed after chowin dooown
overall i had a great experience here & would 100% recommend for happy hour & late dining.
happy hour is from 3-6, 9-close"
"The Brick Pub & Grill","(425) 207-8951","Kristy R.","Second time visiting here. The outside looks a little sketchy but inside has a cool vibe! There is parking in the back in case it is completely full in the little area in front. We did not order any food at this visit but did on our last. Food is very good and service is even better! Enjoyed a couple cocktails tonight and listen to live music definitely a cool little joint. The area it's located in is not my favorite though."
"The Brick Pub & Grill","(425) 207-8951","Amber Lee A.","Good food, in a location you wouldn't expect. I drove up to meet a friend and just assumed it was a gas station. I've now been twice and all the items I have tried were very good."
"The Brick Pub & Grill","(425) 207-8951","Lena Y.","Kind of a hidden gem in a strip mall within a gas station. I found this place via a quick Yelp search so my friend and I could grab dinner. It doesn't look very big from the outside, but you walk into a pretty large space with a variety of tables and seating areas. We sat ourselves as a sign instructed us to, and we were greeted by our server Mike. He was friendly, welcoming and energetic. We shared the poutine, and I got the Hellbent coconut stout and backyard burger with a side of broccoli cheddar soup. Cool that all there beers on tap are from Washington!"
"The Brick Pub & Grill","(425) 207-8951","Chelsi A.","Don't judge a book by its cover. I honestly thought it was a small old bar, and if it wasn't for my cousin recommendation I'm not sure we would have gone.
I love the atmosphere, great selection of local beers on tap and DELICIOUS pulled pork nachos; oh man!! I grew up in Renton and will know recommend this place to everyone. We will for sure be back."
"The Brick Pub & Grill","(425) 207-8951","Henry L.","Came here on a Sunday night with a few friends. It's was around 8pm.
Place was pretty slow with a couple other patrons. Server was welcoming and pretty cool. We had a table by the window. There was a lot of space.
I had a cocktail called Rob Roy. It was average.
Appetizer was crab cakes. It was surprisingly a lot. Came with 2 patties the size of a bk whopper.
Entree was was seared ahi tuna. It was decent. Tuna tasted fresh. Visually, it looked pretty light. But it got me pretty full. Maybe because the crab cakes were so huge. Overall, I can't give too many points for vibes, since it was a Sunday night. Flavors for pretty average, but quality of ingredients keep it above average. I'd say if you're looking for a chill place to have a conversation, this is a good place. If you're a flavor hunter, it's pretty average."
"The Brick Pub & Grill","(425) 207-8951","Mike S.","Food was good, beers were cold service was a bit slow but it all worked out. Good atmosphere, friendly staff, fair food portions. Good place to chill."
"The Brick Pub & Grill","(425) 207-8951","Deanna D.","This is the 3rd time I've been here, and I love it! Very personable wait staff, great food selection, and our waiter was charismatic, and very attentive. We had the Brick Philly Dip, and the Black & Blue salad."
"The Brick Pub & Grill","(425) 207-8951","Leslie W.","The Brick recently changed their menu again. I miss the Cajun chicken sandwich. I only eat white meat and was glad to have this on the menu. The have since removed it. I asked the server if I could have the chicken sandwich from the old menu and he said yes. WHoooHOOOO. Unfortunately when it came out it is not the same sandwich. It is sliced chicken on a bun. This does not make a good sandwich. The pieces kept falling out of the bread. It was a horrible way to eat. The original was the reason I came to the brick repeatedly. Since that sandwich is gone I don't find anything comparable on the menu. Guess I will have to find another Cajun chicken somewhere else."
"The Brick Pub & Grill","(425) 207-8951","Stephen G.","Our second visit to the Brick Pub. First visit a few months back was not bad.
It took at least 15 minutes for the waiter to come to our table. We ordered drinks and dinner. It took around another 10 minutes for the waiter to bring the drinks over. She was doubling as a bartender too. It took around 40 more minutes to get our food...that's almost an hour since we got there. Not acceptable. Fish from fish and chips was over fried and hard. My wife's flank steak order was sirloin tip according to her, and it was pink on the inside though she ordered it medium well.
All in all, we were pretty disappointed..."
"The Brick Pub & Grill","(425) 207-8951","Brad B.","The Brick is a nice pub with great food, hiding in a gas station parking lot. From the outside it doesn't look like much, but the inside is large with lots of seating.
I loved the beer selection at the Brick. They had a whole bunch of local beers that you don't find at many other places, which that alone would keep me coming back.
The food was really good as well! I had a grilled cheese with bacon and peppers and it was awesome! I think it was about $12 which is reasonable.
They also have games out for customers to play, which is always fun when drinking beer with your friends."
